epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,733.848,0.70428,0.5702,1.09861,0.80039,0.85878,0.87988,0.45679,1.66228,0.91659,1.75368,0.000212349,0.000212349,0.000212349
88,741.485,0.7141,0.57898,1.09964,0.81727,0.83844,0.89271,0.4571,1.67259,0.94358,1.75083,0.000198202,0.000198202,0.000198202
89,749.102,0.71403,0.56477,1.10431,0.76958,0.85243,0.88446,0.44744,1.67719,0.98514,1.74002,0.000184055,0.000184055,0.000184055
90,756.86,0.69468,0.56157,1.08742,0.78273,0.84785,0.86404,0.45531,1.68284,0.98419,1.74649,0.000169908,0.000169908,0.000169908
91,778.617,0.65797,0.48764,1.06855,0.82134,0.80442,0.8513,0.46475,1.69424,0.97582,1.75945,0.000155761,0.000155761,0.000155761
92,786.285,0.61271,0.4628,1.0426,0.79215,0.80462,0.84513,0.46634,1.69482,0.9979,1.76302,0.000141614,0.000141614,0.000141614
93,794.046,0.60542,0.43112,1.04988,0.84856,0.84701,0.87952,0.45664,1.67437,0.95063,1.74813,0.000127467,0.000127467,0.000127467
94,801.626,0.59641,0.42417,1.01989,0.8524,0.8596,0.88036,0.46025,1.6786,0.95233,1.73928,0.00011332,0.00011332,0.00011332
95,809.217,0.59365,0.4363,1.02772,0.84302,0.85629,0.88008,0.4595,1.69279,0.94728,1.73705,9.91726e-05,9.91726e-05,9.91726e-05
96,817.018,0.57008,0.41194,1.00978,0.82565,0.8618,0.88016,0.46229,1.67767,0.93646,1.72113,8.50255e-05,8.50255e-05,8.50255e-05
97,824.62,0.5797,0.42036,1.01622,0.81393,0.86177,0.87416,0.464,1.64952,0.93373,1.69705,7.08784e-05,7.08784e-05,7.08784e-05
98,832.325,0.55782,0.41242,0.9989,0.79027,0.85802,0.86951,0.46175,1.6626,0.92715,1.70879,5.67313e-05,5.67313e-05,5.67313e-05
99,840.012,0.55867,0.40728,1.01013,0.80666,0.85819,0.87205,0.45935,1.68448,0.92754,1.73213,4.25842e-05,4.25842e-05,4.25842e-05
